TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
52357,J144157.16-280357.6,220.48815,-28.066,7.49,0.87,NON PERIODIC,L,0.818,2457484.77138,6222363389392305152,0.923,4.974,5.84105,243.59,J144157.18-280356.4,4.676,1.019,0.118,,,0.109,II,https://asas-sn.osu.edu/variables/109467,2M,0.861457,1,V,0.4800000000000004
93155,J144722.70-253725.9,221.8446,-25.62386,6.2,1.2,440.2991201,VAR,0.587,2457566.69784,6228830098311576576,-7.566,-13.148,12.61166,175.4,J144722.57-253727.4,5.598,-0.036,0.171,,,0.131,II,https://asas-sn.osu.edu/variables/240384,2M,2.482214,1,V,0.5899999999999999
120016,J145018.66-242535.7,222.57775,-24.42657,8.59,0.56,402.7309734,VAR,0.63,2457431.87338,6229423284834725888,-32.354,14.008,13.7701,82.4,J145018.54-242539.7,6.809,0.433,0.001,56310583,0.612,0.118,II,https://asas-sn.osu.edu/variables/237419,2M,4.420388,1,V,0.3810000000000002
615133,J045103.87-273110.7,72.76613,-27.51963,8.48,0.22,606.6256286,VAR,0.371,2457312.81297,4880953671588011008,32.103,-8.544,12.97805,82.42,J045103.84-273111.1,7.624,0.305,-0.038,37154330,0.877,0.034,II,https://asas-sn.osu.edu/variables/145419,2M,0.68118,1,V,0.09999999999999964
627436,J045211.38-251138.5,73.04742,-25.19403,11.51,0.29,0.5789044,EW,1.0,2458192.56949,4881868259103905792,2.865,5.879,28.2686,911.91,J045211.36-251138.5,11.274,0.149,0.014,37156968,0.422,0.031,II,https://asas-sn.osu.edu/variables/145442,2M,0.404614,1,V,0.3570000000000011
671564,J045338.11-290637.0,73.40879,-29.11029,12.21,0.43,0.3855829,EW,1.0,2457428.65613,4879717953660083200,-2.433,-8.823,18.35639,423.13,J045338.11-290636.7,11.228,0.407,-0.031,37150163,0.708,0.017,II,https://asas-sn.osu.edu/variables/76157,2M,0.411112,1,V,0.4150000000000009
710783,J045635.61-274049.2,74.14836,-27.68032,12.87,0.58,0.078465,HADS,1.0,2457754.57369,4880318050787689472,7.229,-5.873,61.20696,1386.39,J045635.63-274048.6,12.224,0.045,-0.036,37152317,0.252,0.032,II,https://asas-sn.osu.edu/variables/146479,2M,0.705278,1,V,0.18200000000000038
737546,J045803.54-295600.9,74.51474,-29.93359,10.88,0.49,NON PERIODIC,VAR,0.301,2456923.7965,4876695194334419968,6.232,3.734,31.7967,923.35,J045803.60-295558.8,10.068,0.323,-0.035,37140381,0.319,0.011,II,https://asas-sn.osu.edu/variables/76055,2M,2.270377,1,V,0.11599999999999966
862763,J090113.85-022322.0,135.30771,-2.38945,11.92,0.41,2.0317286,EA,0.995,2457805.71706,5763290960940187648,1.386,-30.069,46.89787,328.7,J090113.93-022322.3,10.706,0.434,-0.031,47146575,0.645,0.024,II,https://asas-sn.osu.edu/variables/382575,2M,1.236453,1,V,0.058999999999999275
927554,J082835.22-135114.1,127.14676,-13.85392,11.49,0.29,7.308233,EA,0.995,2457023.97852,5723559695953756160,-7.658,1.761,25.50644,684.8,J082835.22-135113.9,10.986,0.11,-0.04,46720486,0.247,0.057,V,https://asas-sn.osu.edu/variables/AP46720486,2M,0.220011,1,V,0.2010000000000005
1029392,J021514.83-104802.7,33.8118,-10.80075,10.92,0.69,NON PERIODIC,VAR,0.394,2458121.79661,5151789464548892672,27.082,-20.741,183.70023,1136.12,J021514.92-104800.9,9.874,0.313,-0.006,37825769,0.429,0.031,II,https://asas-sn.osu.edu/variables/245737,2M,2.247322,1,V,0.040000000000000924
1045298,J021742.43-081639.2,34.42681,-8.27756,11.25,0.32,1.4634458,EA,1.0,2458324.80913,2486235213354054656,16.665,0.445,46.02269,582.42,J021742.42-081639.2,10.28,0.419,-0.025,16654353,0.662,0.031,V,https://asas-sn.osu.edu/variables/AP16654353,2M,0.277852,1,V,0.01699999999999946
1129452,J022839.66-093543.7,37.16524,-9.59548,9.07,0.64,NON PERIODIC,VAR,0.359,2457371.70718,5175563036245327872,12.034,8.437,13.53686,194.32,J022839.68-093545.3,8.08,0.215,-0.026,37885046,0.399,0.033,II,https://asas-sn.osu.edu/variables/268051,2M,1.717343,1,V,0.1880000000000006
1450518,J050048.95-321238.8,75.20396,-32.21078,12.5,0.47,0.3337513,EW,1.0,2457002.79383,4873737400679728128,-30.572,76.132,48.18861,123.92,J050048.95-321238.9,10.061,0.802,0.01,37130767,1.195,0.018,V,https://asas-sn.osu.edu/variables/AP37130767,2M,0.973239,1,V,0.01699999999999946
1538794,J110710.66-143817.5,166.79441,-14.63819,13.84,0.55,0.4114262,EA,1.0,2458080.82804,3563221008973319168,5.513,-18.771,18.18328,196.08,J110710.64-143816.9,11.196,0.808,0.059,26401283,1.231,0.056,II,https://asas-sn.osu.edu/variables/181464,2M,0.795115,1,V,0.0909999999999993
1630438,J123232.43-153122.3,188.13514,-15.52286,10.4,0.31,807.3283637,VAR,0.688,2456820.79498,3526665747747394048,-4.721,-15.756,21.93359,281.33,J123232.47-153122.6,9.427,0.337,0.003,26245768,0.508,0.044,II,https://asas-sn.osu.edu/variables/197533,2M,0.783367,1,V,0.04400000000000048
1630690,J123246.08-162620.6,188.19202,-16.43906,10.65,0.28,NON PERIODIC,ROT:,0.319,2457413.87638,3526392970080122880,-80.035,18.779,105.74027,271.36,J123246.13-162619.6,9.539,0.283,-0.023,26244791,0.497,0.044,II,https://asas-sn.osu.edu/variables/285404,2M,1.628277,1,V,0.1479999999999997
2020964,J085350.13-250503.6,133.45886,-25.08432,8.86,0.44,NON PERIODIC,VAR,0.3,2457870.51453,5652692052671505408,-1.303,-12.349,17.09529,290.44,J085350.07-250503.4,7.736,0.327,-0.077,45750012,0.903,0.164,II,https://asas-sn.osu.edu/variables/393506,2M,0.78631,1,V,0.10500000000000043
3311888,J052942.67+352231.5,82.42779,35.37543,7.31,0.72,4.0035336,EW,0.803,2457661.0452,,,,,,J052942.64+352230.1,6.695,0.041,0.073,817706,,0.829,II,https://asas-sn.osu.edu/variables/210555,2M,1.556651,1,V,0.5234499999999995
3816260,J004032.42-062851.7,10.13509,-6.48104,10.67,0.29,420.4886012,VAR,0.74,2456919.94488,2523627061193818112,10.325,-12.86,26.78051,342.58,J004032.41-062851.3,9.562,0.264,-0.03,16774697,0.549,0.061,II,https://asas-sn.osu.edu/variables/184951,2M,0.583134,1,V,0.10800000000000054
3836983,J004149.62-060556.8,10.45674,-6.09911,12.74,0.12,0.3541177,ROT,0.991,2458123.73782,2524018659132929024,18.972,-5.572,8.79685,93.86,J004149.60-060556.7,10.334,0.722,-0.002,16775532,1.16,0.051,V,https://asas-sn.osu.edu/variables/AP16775532,2M,0.301509,1,V,0.02400000000000091
4164713,J073830.22+334243.0,114.62593,33.71195,8.32,0.46,649.9319065,VAR,0.719,2456621.96617,894252636735896320,-36.292,21.32,18.81197,94.29,J073830.18+334242.9,6.943,0.25,-0.008,6202306,,0.045,II,https://asas-sn.osu.edu/variables/74718,2M,1.513685,1,V,0.54
4206238,J052330.94-010424.1,80.87892,-1.07337,10.26,0.23,NON PERIODIC,YSO,0.478,2456656.87013,3220462655745525760,1.269,-0.516,2.27925,351.01,J052331.01-010423.6,9.147,1.291,0.495,23194161,0.503,0.203,II,https://asas-sn.osu.edu/variables/212354,2M,1.129986,1,V,0.1509999999999998
4629065,J023129.74-090332.7,37.8739,-9.05908,11.31,0.11,5.8971399,EA,0.967,2458390.98115,5175701024954508288,24.995,12.186,83.05624,630.14,J023129.82-090333.8,10.338,0.266,-0.014,37885343,0.499,0.029,II,https://asas-sn.osu.edu/variables/268108,2M,1.601414,1,V,0.05299999999999905
4713510,J071802.16-194057.5,109.50898,-19.68265,12.25,0.49,0.6241416,EB,1.0,2457807.60255,2930145264788816384,-0.332,0.191,2.06589,1137.9,J071802.13-194057.7,11.417,0.264,-0.055,18795829,0.35,0.989,II,https://asas-sn.osu.edu/variables/426891,2M,114.546486,1,V,0.7230000000000008
4735737,J121114.01+290627.0,182.80836,29.10751,9.77,0.44,NON PERIODIC,ROT:,0.377,2457052.02063,4013157934611451392,-5.118,-36.548,26.66865,152.46,J121113.90+290626.8,8.525,0.302,-0.042,27720235,0.575,0.02,II,https://asas-sn.osu.edu/variables/119609,2M,1.396645,1,V,0.26699999999999946
4742129,J023908.74-102748.1,39.7864,-10.46336,12.46,0.36,1.0360089,EA,0.89,2458299.11392,5172091495783931904,-16.998,-96.666,57.30136,123.17,J023908.73-102747.4,10.081,0.784,-0.021,37876848,1.144,0.029,II,https://asas-sn.osu.edu/variables/268569,2M,1.679055,1,V,0.120000000000001
4783276,J071828.98-201859.5,109.62077,-20.31652,12.38,0.18,2.1689219,EA,1.0,2457427.71247,2930044698138850304,-13.494,23.745,61.30311,473.54,J071828.98-201859.7,11.306,0.316,-0.024,18793055,0.524,0.822,V,https://asas-sn.osu.edu/variables/AP18793055,2M,0.589608,1,V,0.051000000000000156
4970499,J092751.93-391052.3,141.96638,-39.18119,15.98,0.52,NON PERIODIC,CV,,2457856.56598,5429765829625368576,-4.392,3.633,46.16597,1708.75,J092751.94-391052.3,15.723,-0.928,-0.044,,,0.315,II,https://asas-sn.osu.edu/variables/339082,2M,0.40516,1,V,0.5388999999999982
5001059,J070946.79-011513.8,107.44496,-1.25383,11.43,0.28,23.1291131,EA,0.929,2457625.91371,3109393457145842176,1.368,-3.947,19.24617,972.0,J070946.77-011514.0,10.117,0.634,-0.042,,,0.238,VI,https://asas-sn.osu.edu/variables/J070946.79-011513.8,2M,0.053533,1,V,0.22000000000000064
5205367,J175807.11+150822.0,269.52963,15.13944,7.9,1.01,3.9932482,EA,0.996,2458376.77285,4501439984674493440,-25.262,75.465,32.19405,85.35,J175806.95+150822.7,5.994,0.43,0.138,34972647,,0.101,II,https://asas-sn.osu.edu/variables/96093,2M,1.919866,1,V,0.6600000000000001
5283033,J071057.87-035243.4,107.74112,-3.87872,8.57,0.91,NON PERIODIC,VAR,0.427,2457112.74078,3107638400374273024,-14.869,-11.346,17.49149,197.3,J071057.84-035243.3,7.542,0.203,-0.027,21307891,0.399,0.301,II,https://asas-sn.osu.edu/variables/337665,2M,0.300347,1,V,0.2400000000000002
5480687,J095755.76-212847.3,149.48233,-21.4798,10.44,0.27,849.165278,VAR,0.344,2457156.52594,,,,,,J095755.39-212847.6,9.365,0.252,-0.029,45883645,0.443,0.044,II,https://asas-sn.osu.edu/variables/128558,2M,5.006289,1,V,0.33000000000000007
5656273,J230819.62-152434.4,347.08175,-15.40956,10.96,0.33,649.5562588,VAR,0.589,2456600.83065,2410011256225661440,106.955,-18.738,12.81278,24.89,J230819.63-152435.9,7.979,0.865,-0.058,16471873,1.406,0.036,II,https://asas-sn.osu.edu/variables/205628,2M,1.679676,1,V,0.08300000000000018
5713097,J115634.29-180353.4,179.14289,-18.06484,11.65,0.18,0.41596,ELL,0.521,2457777.84802,3567243705407000064,-30.178,-3.26,26.18817,182.02,J115634.26-180353.5,10.256,0.553,-0.018,26415333,0.758,0.042,IV,https://asas-sn.osu.edu/variables/APO191,2M,0.060889,1,V,0.03700000000000081
5795305,J231500.19-150248.6,348.75081,-15.04682,10.86,0.44,NON PERIODIC,VAR,0.379,2456876.6197,2407139228774558208,36.892,-3.953,54.38513,309.24,J231500.12-150248.3,9.899,0.356,-0.014,16464658,0.51,0.033,II,https://asas-sn.osu.edu/variables/205455,2M,1.45283,1,V,0.20199999999999996
5917423,J072742.97-114748.0,111.92903,-11.79667,9.71,0.66,NON PERIODIC,GCAS,0.304,2457453.66609,3034556645614044160,-5.797,-1.584,15.35654,539.11,J072742.91-114745.6,9.662,-0.023,-0.025,19924187,0.158,0.429,II,https://asas-sn.osu.edu/variables/398771,2M,2.472305,1,V,0.010999999999999233
5981829,J125444.50-211840.0,193.68542,-21.3111,9.67,0.37,NON PERIODIC,ROT:,0.308,2457092.85218,3508402107991265792,-27.572,-31.063,47.04356,238.95,J125444.53-211839.7,8.527,0.352,-0.032,26173230,,0.072,II,https://asas-sn.osu.edu/variables/152871,2M,0.857224,1,V,0.009000000000000341
6400274,J185405.14-513058.6,283.5214,-51.51628,9.83,0.42,NON PERIODIC,VAR,0.742,2457291.58856,6651812324595592192,10.999,-2.963,10.56105,195.6,J185404.98-513057.7,8.532,0.392,-0.022,58628432,,0.069,II,https://asas-sn.osu.edu/variables/199058,2M,2.005702,1,V,0.08999999999999986
6631253,J162637.30-504248.4,246.65542,-50.71345,9.89,0.3,NON PERIODIC,VAR,0.296,2457854.87017,5934552751832951808,-9.657,-0.199,14.62606,319.46,J162637.37-504249.2,8.69,0.317,-0.021,51300010,0.531,2.809,II,https://asas-sn.osu.edu/variables/356250,2M,1.254187,1,V,0.0129999999999999
7211118,J073506.68-090546.3,113.77784,-9.0962,9.58,0.47,NON PERIODIC,VAR,0.319,2457451.64228,3041557579742276096,-33.085,4.649,27.04018,170.75,J073506.62-090544.4,8.378,0.266,-0.016,20077570,,0.226,II,https://asas-sn.osu.edu/variables/412669,2M,1.877567,1,V,0.2629999999999999
7320873,J052049.35-454130.2,80.20564,-45.69173,11.9,0.11,0.6253579,ROT,0.999,2457322.75989,4799771196191248384,22.51,13.256,12.69597,102.53,J052049.35-454129.8,9.687,0.73,0.0,36853621,1.106,0.045,II,https://asas-sn.osu.edu/variables/56267,2M,0.326853,1,V,0.014999999999998792
7418947,J052418.45-461409.1,81.07688,-46.23587,10.99,0.23,NON PERIODIC,ROT:,0.334,2456943.77192,4798992501440721920,14.55,2.726,49.42776,704.43,J052418.50-461408.6,10.405,0.218,-0.012,36849710,0.35,0.035,II,https://asas-sn.osu.edu/variables/58122,2M,78.345886,1,V,0.1590000000000007
7695666,J042235.29-412900.6,65.64704,-41.48349,10.66,0.26,544.8437257,VAR,0.758,2457406.53867,4840078845788244992,-0.734,38.325,67.78902,373.09,J042235.22-412859.6,9.634,0.291,-0.017,37032244,0.496,0.021,II,https://asas-sn.osu.edu/variables/135962,2M,0.858648,1,V,0.015000000000000568
7724421,J042538.82-380334.1,66.41177,-38.05946,9.91,0.38,NON PERIODIC,VAR,0.276,2457311.86184,4865477839267806208,30.118,25.518,65.47823,349.94,J042538.75-380333.8,9.166,0.231,-0.02,37106005,0.426,0.032,II,https://asas-sn.osu.edu/variables/78555,2M,1.165406,1,V,0.03999999999999915
7791094,J153554.21-335625.2,233.97588,-33.94033,10.7,0.42,NON PERIODIC,VAR,0.298,2457914.73859,6014259923118294016,-21.263,-32.872,79.67483,429.36,J153554.12-335623.7,9.014,0.358,0.019,53002000,0.747,0.561,II,https://asas-sn.osu.edu/variables/431897,2M,1.897623,1,V,0.0649999999999995
7849727,J182138.33+421004.6,275.40971,42.16794,10.53,0.43,93.3342546,VAR,0.468,2456820.92405,2114453601444544768,-4.453,-25.937,50.21891,402.59,J182138.31+421007.4,9.481,0.21,-0.025,14547629,0.437,0.054,II,https://asas-sn.osu.edu/variables/53999,2M,3.107975,1,V,0.13699999999999868
7851729,J182101.87+443842.6,275.25781,44.64517,11.56,0.49,1.2525927,EA,1.0,2457122.12172,2115167665527274496,0.474,-3.218,10.72467,695.6,J182101.96+443842.6,10.679,0.274,-0.016,14553886,0.469,0.047,II,https://asas-sn.osu.edu/variables/81148,2M,0.937672,1,V,0.21799999999999997
7854182,J182211.58+473408.9,275.54824,47.56915,9.49,0.5,NON PERIODIC,VAR,0.374,2456737.00546,2121872762311383296,-11.618,25.996,32.77855,242.86,J182211.66+473408.2,8.761,0.232,-0.009,,,0.041,II,https://asas-sn.osu.edu/variables/81042,2M,1.391382,1,V,0.1720000000000006
8008612,J153816.23-322923.7,234.56763,-32.48991,10.55,0.36,NON PERIODIC,ROT:,0.333,2458308.74888,6016127718498455552,-34.272,-26.415,44.17964,215.4,J153816.13-322923.7,9.394,0.485,-0.015,53024329,0.668,0.228,II,https://asas-sn.osu.edu/variables/431906,2M,0.887744,1,V,0.018000000000000682
8070739,J103205.72-020940.0,158.02385,-2.16111,9.62,0.55,NON PERIODIC,ROT:,0.262,2456794.78905,3781741110973001728,-31.467,-0.208,35.09433,235.28,J103205.72-020938.0,8.761,0.224,-0.028,27112573,0.283,0.047,II,https://asas-sn.osu.edu/variables/337670,2M,1.934029,1,V,0.1559999999999988
8152515,J102102.67+413650.9,155.26114,41.61413,9.28,0.28,NON PERIODIC,ROT:,0.467,2456439.76612,804769260872578816,-12.909,-3.61,17.31085,272.46,J102102.68+413650.1,8.113,0.157,-0.035,5809464,,0.011,II,https://asas-sn.osu.edu/variables/116809,2M,0.653518,1,V,0.4900000000000002
8245065,J102926.74+394608.8,157.36143,39.7691,8.9,0.24,NON PERIODIC,VAR,0.755,2456818.76303,756165967834687744,-18.196,0.78,21.35147,247.33,J102926.75+394608.4,7.726,0.226,-0.064,5728665,0.399,0.011,II,https://asas-sn.osu.edu/variables/118800,2M,0.523215,1,V,0.22000000000000064
8417276,J162406.51+344241.2,246.02713,34.71145,12.56,0.27,0.4226042,EB,0.998,2456811.91501,1329155763792260864,8.46,-16.217,42.33467,488.29,J162406.56+344241.6,11.307,0.425,-0.023,8177701,0.697,0.018,II,https://asas-sn.osu.edu/variables/61214,2M,0.805084,1,V,0.02999999999999936
8444713,J162437.78+345722.4,246.15741,34.95623,10.8,0.23,NON PERIODIC,ROT:,0.565,2456882.79268,1329183358958814208,-11.178,17.625,31.21883,315.57,J162437.86+345724.0,9.842,0.272,-0.016,8177798,0.457,0.019,II,https://asas-sn.osu.edu/variables/61111,2M,1.817242,1,V,0.02400000000000091
8592033,J163205.51+302309.5,248.02295,30.38596,10.97,0.88,4.3433146,EA,0.998,2457237.8461,1312084922355396352,5.54,-23.336,53.30075,468.84,J163205.52+302309.4,8.876,0.652,-0.058,8115731,1.11,0.02,VI,https://asas-sn.osu.edu/variables/AP8115731,2M,0.251803,1,V,0.15800000000000125
8624617,J163307.67+333125.6,248.28197,33.52378,12.04,1.14,4.9053516,EA,1.0,2456890.79643,1325137529829065984,-12.99,-3.719,62.08509,969.38,J163307.64+333125.5,10.492,0.553,-0.06,8162614,0.704,0.023,II,https://asas-sn.osu.edu/variables/52568,2M,0.298831,1,V,0.049000000000001265
8669966,J163329.10+302956.2,248.37124,30.49895,7.51,0.65,NON PERIODIC,ROT:,0.289,2456898.76432,1312077947328500224,-38.119,-2.785,31.1305,171.83,J163329.09+302956.7,6.322,0.085,1.669,8115694,,0.021,II,https://asas-sn.osu.edu/variables/91079,2M,0.541946,1,V,0.6227399999999994
8677671,J090948.45+302537.8,137.45189,30.42717,10.49,0.72,NON PERIODIC,VAR,0.339,2457360.13319,699818436453891200,-15.816,-14.442,30.53333,300.76,J090948.58+302536.6,9.485,0.379,-0.004,5589908,0.534,0.024,II,https://asas-sn.osu.edu/variables/136656,2M,2.173026,1,V,0.036999999999999034
8769657,J092128.41+332557.9,140.36838,33.43276,15.13,0.26,0.4264744,EA,0.974,2457095.96622,702082159096764288,-33.697,-28.862,27.22561,129.46,J092128.32+332558.4,11.377,0.858,0.127,5596946,1.379,0.017,II,https://asas-sn.osu.edu/variables/107310,2M,1.072654,1,V,0.04499999999999993
8989778,J233916.18-090905.4,354.81741,-9.15149,11.08,0.36,0.612805,EW,1.0,2457638.99608,2438737101308168704,4.947,-1.483,16.39252,669.64,J233916.16-090905.3,10.695,0.117,-0.008,16545738,0.23,0.028,V,https://asas-sn.osu.edu/variables/AP16545738,2M,0.213249,1,V,0.010999999999999233
9036901,J144717.26+315030.5,221.82191,31.8418,12.09,0.37,3.4129568,EA,1.0,2457794.00145,1283457247344012288,6.03,-12.074,70.41845,1100.79,J144717.43+315027.7,11.025,0.51,-0.035,8027088,0.54,0.012,II,https://asas-sn.osu.edu/variables/79625,2M,3.518804,1,V,0.005000000000000782
9054370,J234438.82-085055.1,356.16177,-8.84864,8.54,0.4,NON PERIODIC,ROT:,0.295,2456890.0439,2435808861325314048,49.704,-0.8,22.69759,96.33,J234438.89-085055.6,7.157,0.264,-0.086,16535781,0.492,0.027,II,https://asas-sn.osu.edu/variables/417200,2M,0.720262,1,V,0.46999999999999886
9057422,J232025.64-192505.5,350.10719,-19.41856,11.81,0.18,711.5181707,VAR,0.661,2457545.79949,2392960618312884736,46.514,-51.37,54.46054,165.8,J232025.67-192506.2,10.164,0.557,-0.004,16429285,0.759,0.029,I,https://asas-sn.osu.edu/variables/566334,2M,1.522278,1,V,0.10899999999999999
9058724,J144831.19+350318.3,222.12996,35.05508,10.68,0.16,835.1113456,VAR,0.497,2456797.03797,1293062336106196736,-64.3,61.107,75.40663,179.34,J144830.95+350318.7,9.313,0.482,-0.022,8046295,0.723,0.018,II,https://asas-sn.osu.edu/variables/53606,2M,2.291495,1,V,0.09699999999999953
9070070,J234718.33-080509.5,356.82636,-8.08597,10.54,0.59,NON PERIODIC,VAR,0.403,2457380.55626,2436283193217778176,-10.383,0.21,16.71355,339.53,J234718.33-080512.0,9.803,0.249,-0.009,16537102,0.359,0.029,II,https://asas-sn.osu.edu/variables/205509,2M,2.620804,1,V,0.009999999999999787
9146275,J232608.55-192223.2,351.53562,-19.3731,8.7,0.35,NON PERIODIC,VAR,0.293,2457353.61018,2393101802477641728,16.36,9.731,22.55007,249.93,J232608.62-192223.5,7.914,0.257,-0.03,16429724,,0.026,II,https://asas-sn.osu.edu/variables/425229,2M,1.037506,1,V,0.010000000000001563
9172417,J040813.78-054524.7,62.05743,-5.75685,13.68,0.09,0.2451896,EW,0.85,2457247.8855,3197424691687799808,70.755,-140.99,53.97376,72.18,J040813.84-054525.3,10.469,0.813,0.152,23045673,1.587,0.07,V,https://asas-sn.osu.edu/variables/AP23045673,2M,0.924774,1,V,0.5
9216075,J233101.56-192922.1,352.75651,-19.48947,9.28,0.29,479.730173,VAR,0.716,2456979.74493,2392304793986446336,20.225,17.435,20.96659,165.65,J233101.53-192923.7,8.366,0.227,-0.039,16427781,,0.033,II,https://asas-sn.osu.edu/variables/409449,2M,2.020943,1,V,0.21999999999999886
9380768,J045304.48-070023.8,73.26867,-7.00662,11.41,0.39,1.6222239,EA,0.997,2457486.47765,3187988785977092096,13.899,-30.45,21.12381,133.14,J045304.43-070023.8,9.561,0.647,-0.021,23011371,0.959,0.056,II,https://asas-sn.osu.edu/variables/144071,2M,0.856718,1,V,0.28200000000000003
9381557,J045331.56-064144.8,73.38149,-6.69577,12.58,0.24,11.8204643,EA,0.974,2456956.72982,3188027127148763136,5.71,-8.506,56.13673,1156.02,J045331.51-064145.0,11.089,0.569,-0.048,23011570,0.834,0.049,II,https://asas-sn.osu.edu/variables/144109,2M,0.68047,1,V,0.08999999999999986
9384580,J124612.59-253336.3,191.55244,-25.56007,11.45,0.17,0.3145114,EW,0.998,2457887.73911,3496940661344694272,,,,,J124612.59-253336.2,10.103,0.393,-0.028,26123680,0.62,0.092,V,https://asas-sn.osu.edu/variables/AP26123680,2M,0.254694,1,V,0.005999999999998451
9391285,J111027.06+363244.2,167.61275,36.54561,11.0,0.22,NON PERIODIC,ROT:,0.667,2456824.76934,762159577515972864,-13.456,-31.013,24.89043,155.33,J111026.93+363243.4,9.8,0.38,-0.02,5738124,0.631,0.013,II,https://asas-sn.osu.edu/variables/118931,2M,1.642951,1,V,0.23099999999999987
9461737,J121254.27+363341.8,183.22613,36.5616,15.74,0.41,0.6369238,EA,0.999,2457547.81923,4030222836110556160,-11.037,-12.434,255.284,3239.37,J121254.27+363341.7,15.343,-0.057,-0.022,27747374,0.186,0.027,II,https://asas-sn.osu.edu/variables/600213,2M,0.123318,1,V,0.06600000000000072
9473243,J171335.37+304236.1,258.39736,30.71003,10.97,2.51,4.5338153,EA,0.983,2457880.8667,1333162246725509888,-0.121,0.721,1.74085,502.36,J171335.36+304236.0,10.008,0.39,0.008,8191552,0.37,0.045,VI,https://asas-sn.osu.edu/variables/AP8191552,2M,0.065435,1,V,0.16799999999999926
9632550,J234846.04-080845.7,357.19184,-8.14603,9.55,0.99,NON PERIODIC,VAR,0.495,2456981.81036,2436314911551863808,32.724,-12.568,82.96948,499.34,J234846.03-080844.6,8.692,0.176,-0.022,16537181,0.406,0.032,II,https://asas-sn.osu.edu/variables/205050,2M,1.204616,1,V,0.16999999999999993
9692649,J162737.83-491042.2,246.90763,-49.1784,11.57,0.04,0.974,EA,0.853,2458356.64811,5941411299182886912,2.269,-4.523,25.60005,1067.31,J162737.79-491042.1,10.675,0.288,-0.161,51462646,0.392,25.444,II,https://asas-sn.osu.edu/variables/357077,2M,0.30178,1,V,0.2159999999999993
9729491,J172045.59+340721.5,260.18997,34.12264,12.04,0.09,5.5414721,ROT,0.98,2456460.88645,1334189813357553152,-6.174,-6.485,6.62271,156.04,J172045.59+340721.5,10.54,0.563,-0.039,8196670,0.847,0.033,VI,https://asas-sn.osu.edu/variables/AP8196670,2M,110.914195,1,V,0.12799999999999834
9845586,J031251.95-074420.5,48.21646,-7.73902,12.31,0.69,0.3601098,EW,1.0,2458450.92875,5167790210591361024,-13.596,-13.854,35.39087,384.65,J031251.93-074420.6,10.83,0.346,-0.018,37866117,0.698,0.073,V,https://asas-sn.osu.edu/variables/AP37866117,2M,0.37032,1,V,0.23599999999999888
9886075,J031528.81-114612.4,48.87006,-11.7701,10.92,0.42,NON PERIODIC,VAR,0.382,2457354.65946,5162602474213538816,-17.665,8.155,22.55296,244.55,J031528.89-114612.9,9.966,0.362,0.0,37852377,0.601,0.074,II,https://asas-sn.osu.edu/variables/198172,2M,1.459684,1,V,0.1120000000000001
9945183,J032122.58-101705.7,50.34408,-10.28492,11.81,1.07,1.5575763,EA,0.999,2456918.00607,5163313888300833792,6.865,-4.958,17.45373,434.83,J032122.59-101706.1,10.677,0.379,-0.006,37854071,0.45,0.052,II,https://asas-sn.osu.edu/variables/197882,2M,0.489079,1,V,0.07299999999999862
10111251,J113536.81+384557.4,173.90336,38.76594,11.63,0.36,0.2693019,RRC,0.676,2456736.90035,766938634870850432,-30.582,-29.217,339.10846,1691.49,J113536.70+384557.4,11.001,0.113,-0.018,5744973,0.186,0.023,II,https://asas-sn.osu.edu/variables/109226,2M,0.936422,1,V,0.12600000000000122
10393493,J175056.59+333245.1,267.73579,33.54586,12.49,0.44,0.3604645,EW,1.0,2457251.89767,4607233138071960064,2.671,-1.653,8.64013,580.31,J175056.66+333244.9,11.416,0.297,-0.034,35976053,0.731,0.048,II,https://asas-sn.osu.edu/variables/52196,2M,0.74058,1,V,0.16799999999999926
10756751,J003655.17-055226.7,9.22987,-5.87409,9.93,0.56,NON PERIODIC,VAR,0.297,2456955.63981,2526767987958943744,11.831,1.073,27.56894,489.6,J003655.13-055226.4,8.936,0.344,-0.03,16780692,0.381,0.04,II,https://asas-sn.osu.edu/variables/187966,2M,0.600706,1,V,0.009999999999999787
10838695,J014100.71-064334.4,25.25297,-6.72622,10.24,0.49,NON PERIODIC,VAR,0.296,2456931.71068,2479263244482145792,16.311,-12.897,50.77386,515.14,J014100.70-064334.4,9.872,0.199,0.006,16638183,0.113,0.037,II,https://asas-sn.osu.edu/variables/193224,2M,0.250076,1,V,0.08199999999999896
10937009,J034104.33-031750.8,55.26803,-3.29744,12.8,0.09,NON PERIODIC,VAR,0.745,2457971.85125,,,,,,J034104.71-031751.2,,,0.572,23394705,0.991,0.068,II,https://asas-sn.osu.edu/variables/269238,2M,9.844014,1,V,0.16000000000000014
